,title
7132,Barbershop 2:  Back in Business ( 2004 )
39133,Barbershop: The Next Cut ( 2016 )
23029,Barefoot ( 2014 )
20068,Barfi ( 2012 )
3963,Barfly ( 1987 )
16353,Barney's Version ( 2010 )
11198,Barnyard ( 2006 )
2624,Barry Lyndon ( 1975 )
6316,Barton Fink ( 1991 )
6149,Basic ( 2003 )
1067,Basic Instinct ( 1992 )
10928,Basic Instinct 2 ( 2006 )
828,Basquiat ( 1996 )
39158,Bastille Day ( 2016 )
18304,Bathing Beauty ( 1944 )
1497,Batman & Robin ( 1997 )
585,Batman ( 1989 )
10153,Batman Begins ( 2005 )
150,Batman Forever ( 1995 )
1335,Batman Returns ( 1992 )
31107,Batman v Superman: Dawn of Justice ( 2016 )
3104,Batman: Mask of the Phantasm ( 1993 )
40590,Batman: The Killing Joke ( 2016 )
4079,Battle Beyond the Stars ( 1980 )
6894,Battle Royale ( 2000 )
14240,Battle for Terra ( 2007 )
2424,Battle for the Planet of the Apes ( 1973 )
10977,Battle in Heaven ( 2005 )
13358,Battle in Seattle ( 2007 )
21715,Battle of the Year ( 2013 )
16833,Battle: Los Angeles ( 2011 )
3479,Battlefield Earth ( 2000 )
18893,Battleship ( 2012 )
28003,Battletruck ( 1982 )
44177,Baywatch ( 2017 )
9798,Be Cool ( 2005 )
1593,Bean ( 1997 )
16271,Beastly ( 2011 )
9660,Beastmaster 2: Through the Portal of Time ( 1991 )
32841,Beasts of No Nation ( 2015 )
19200,Beasts of the Southern Wild ( 2012 )
14815,Beautiful ( 2009 )
20501,Beautiful Creatures ( 2013 )
9920,Beauty Shop ( 2005 )
588,Beauty and the Beast ( 1991 )
23262,Beauty and the Beast ( 2014 )
43173,Beauty and the Beast ( 2017 )
9742,Because of Winn-Dixie ( 2005 )
11716,Becoming Jane ( 2007 )
3850,Bedazzled ( 2000 )
1009,Bedknobs and Broomsticks ( 1971 )
13285,Bedtime Stories ( 2008 )
12205,Bee Movie ( 2007 )
10600,Bee Season ( 2005 )
11244,Beerfest ( 2006 )
6669,Beethoven's 2nd ( 1993 )
2071,Beetlejuice ( 1988 )
43136,Before I Fall ( 2017 )
24119,Before I Go to Sleep ( 2014 )
20547,Before Midnight ( 2013 )
212,Before Sunrise ( 1995 )
7938,Before Sunset ( 2004 )
12207,Before the Devil Knows You're Dead ( 2007 )
10027,Before the Fall ( 2004 )
23468,Begin Again ( 2013 )
17302,Beginners ( 2010 )
4841,Behind Enemy Lines ( 2001 )
19525,Behind the Burly Q ( 2010 )
21053,Behind the Candelabra ( 2013 )
2890,Being John Malkovich ( 1999 )
19138,Bel Ami ( 2012 )
23376,Belle ( 2013 )
17910,Bellflower ( 2011 )
1249,Ben-Hur ( 1959 )
26600,Ben-Hur ( 2016 )
6858,Ben-Hur: A Tale of the Christ ( 1925 )
6104,Bend It Like Beckham ( 2002 )
2423,Beneath the Planet of the Apes ( 1970 )
9148,Beowulf ( 1999 )
12226,Beowulf ( 2007 )
19059,Bernie ( 2012 )
7163,Best Defense ( 1984 )
23185,Best Man Down ( 2012 )
22703,Better Living Through Chemistry ( 2014 )
13139,Beverly Hills Chihuahua ( 2008 )
3966,Beverly Hills Cop ( 1984 )
3965,Beverly Hills Cop II ( 1987 )
415,Beverly Hills Cop III ( 1994 )
10166,Bewitched ( 2005 )
17020,Beyond ( 2010 )
14631,Beyond a Reasonable Doubt ( 2009 )
25094,Beyond the Lights ( 2014 )
3218,Beyond the Mat ( 1999 )
7676,Beyond the Valley of the Dolls ( 1970 )
21309,Bhaag Milkha Bhaag ( 2013 )
3048,Bicentennial Man ( 1999 )
2981,Bicycle Thieves ( 1948 )
2691,Big ( 1988 )
74,Big Bully ( 1996 )
2588,Big Daddy ( 1999 )
25545,Big Eyes ( 2014 )
14433,Big Fan ( 2009 )
4974,Big Fat Liar ( 2002 )
40927,Big Fish & Begonia ( 2016 )
7018,Big Fish ( 2003 )
28825,Big Game ( 2014 )
24501,Big Hero 6 ( 2014 )
18538,Big Miracle ( 2012 )
3532,Big Momma's House ( 2000 )
10795,Big Momma's House 2 ( 2006 )
16892,"Big Mommas: Like Father, Like Son ( 2011 )"
4657,Big Trouble ( 2002 )
3626,Big Trouble in Little China ( 1986 )
5943,Biker Boyz ( 2003 )
23597,Bikini Spring Break ( 2012 )
4455,Bill & Ted's Excellent Adventure ( 1989 )
13808,Billu ( 2009 )
3849,Billy Elliot ( 2000 )
41454,Billy Lynn's Long Halftime Walk ( 2016 )
213,Billy Madison ( 1995 )
4360,Biloxi Blues ( 1988 )
23606,Birdman ( 2014 )
6934,Birdman of Alcatraz ( 1962 )
3233,Birdy ( 1984 )
44047,Bitter Harvest ( 2017 )
342,Bitter Moon ( 1992 )
44416,Bizim Aile ( 1975 )
11741,Black Book ( 2006 )
16920,Black Bread ( 2010 )
11534,Black Christmas ( 2006 )
14432,Black Dynamite ( 2009 )
11189,Black Gold ( 2011 )
4893,Black Hawk Down ( 2001 )
16862,Black Lightning ( 2009 )
30795,Black Mass ( 2015 )
23562,Black Nativity ( 2013 )
4456,Black Rain ( 1989 )
45322,Black Rose ( 2014 )
11638,Black Snake Moan ( 2006 )
43362,Black Snow ( 2017 )
16128,Black Swan ( 2010 )
3397,Black and White ( 1999 )
25233,Black or White ( 2014 )
25880,Blackhat ( 2015 )
2064,Blade ( 1998 )
5133,Blade II ( 2002 )
536,Blade Runner ( 1982 )
8288,Blade: Trinity ( 2004 )
41456,Blair Witch ( 2016 )
2389,Blast from the Past ( 1999 )
3557,Blazing Saddles ( 1974 )
42522,Bleed for This ( 2016 )
23467,Blended ( 2014 )
3284,Blind Date ( 1987 )
13095,Blindness ( 2008 )
8894,Bliss ( 1985 )
17597,Blitz ( 2011 )
11477,Blood Diamond ( 2006 )
3235,Blood Feast ( 1963 )
23172,Blood Ties ( 2013 )
5388,Blood Work ( 2002 )
2380,"Blood, Guts, Bullets and Octane ( 1998 )"
10735,BloodRayne ( 2005 )
3333,Bloodsport ( 1988 )
4119,Blow ( 2001 )
5594,Blow Out ( 1981 )
6220,Blue Car ( 2002 )
5406,Blue Crush ( 2002 )
21797,Blue Is the Warmest Color ( 2013 )
21402,Blue Jasmine ( 2013 )
2753,Blue Streak ( 1999 )
8844,Blue Thunder ( 1983 )
15301,Blue Valentine ( 2010 )
1973,Blue Velvet ( 1986 )
153,Blue in the Face ( 1995 )
1686,Blues Brothers 2000 ( 1998 )
30587,Bluffmaster! ( 2005 )
6135,Boat Trip ( 2002 )
7872,Bob & Carol & Ted & Alice ( 1969 )
6385,"Bodies, Rest & Motion ( 1993 )"
7376,Body Double ( 1984 )
421,Body Snatchers ( 1993 )
5846,Body of Evidence ( 1993 )
13039,Body of Lies ( 2008 )
38091,Bodyguard ( 2011 )
18643,Bodyguards and Assassins ( 2009 )
3189,Boiler Room ( 2000 )
44888,Boj S Tenyu 2: Revansh ( 2007 )
28902,Bolero ( 1984 )
13168,Bolt ( 2008 )
31440,Bombay Velvet ( 2015 )
38502,Bommarillu ( 2006 )
11209,Bon Cop Bad Cop ( 2006 )
4735,Bones ( 2001 )
1059,Bonnie and Clyde ( 1967 )
9685,Boogeyman ( 2005 )
1601,Boogie Nights ( 1997 )
8420,Boom Town ( 1940 )
120,Boomerang ( 1992 )
9804,Bopha! ( 1993 )
11343,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ( 2006 )
819,Bordello of Blood ( 1996 )
40062,Boris - Il film ( 2011 )
9526,Born into Brothels ( 2004 )
3890,Born on the Fourth of July ( 1989 )
99,Bottle Rocket ( 1996 )
12893,Bottle Shock ( 2008 )
3869,Bounce ( 2000 )
844,Bound ( 1996 )
5548,Bowling for Columbine ( 2002 )
16972,Boy ( 2010 )
12746,Boy Culture ( 2007 )
23639,Boyhood ( 2014 )
2801,Boys Don't Cry ( 1999 )
3629,Boys and Girls ( 2000 )
215,Boys on the Side ( 1995 )
6671,Boyz n the Hood ( 1991 )
1203,Braindead ( 1992 )
4937,Brainstorm ( 1983 )
15979,Bran Nue Dae ( 2009 )
19131,Brave ( 2012 )
108,Braveheart ( 1995 )
1459,Breakdown ( 1997 )
879,Breakfast at Tiffany's ( 1961 )
3250,Breaking Away ( 1979 )
5184,Breakout ( 1975 )
3892,Brewster's Millions ( 1985 )
10929,Brick ( 2005 )
